LocationId,Project,Country,State,City,Neighbourhood,WeekStartDate,WeekNumber,Day,FaireeId,remaining_avail,Slots_less_than_1hr,Slots_1hr_to_2hr,Slots_more_than_2hr,bookable_hours,utilisation_index,non,effective_bookable_hours,effective_remaining_hours,effective_Slots_less_than_1hr,effective_Slots_1hr_to_2hr,effective_Slots_more_than_2hr
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-02,4,MONDAY,118,2.5,3,0,0,8.0000000000000000,0.22222222222222222222,1,1.78,0.56,0.67,0.00,0.00
140,Southgate Towers,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,FRIDAY,118,4.5,1,2,0,8.0000000000000000,0.80000000000000000000,1,6.40,3.60,0.80,1.60,0.00
114,20 Broad Street,US,NY,New York,Financial District Polygon,2026-07-26,3,MONDAY,45,5.5,2,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,5.50,2.00,0.00,1.00
47,1 Boerum PL,US,NY,Brooklyn,Floating NY 2,2026-07-26,3,THURSDAY,39,2.0,2,0,0,8.0000000000000000,0.36363636363636363636,1,2.91,0.73,0.73,0.00,0.00
134,Livana East Hanover,US,NJ,East Hanover,Chatham / West Orange Polygon,2026-07-26,3,MONDAY,64,6.0,2,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,6.00,2.00,0.00,1.00
131,The Addison,US,NY,Brooklyn,Brooklyn Heights Polygon,2026-08-09,1,TUESDAY,77,7.5,0,0,2,8.0000000000000000,1.00000000000000000000,1,8.00,7.50,0.00,0.00,2.00
96,420 Kent Avenue,US,NY,Brooklyn,Williamsburg Polygon,2026-08-09,1,WEDNESDAY,90,1.5,2,0,0,8.0000000000000000,1.00000000000000000000,1,8.00,1.50,2.00,0.00,0.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-16,2,FRIDAY,137,2.5,0,0,1,8.0000000000000000,0.66666666666666666667,1,5.33,1.67,0.00,0.00,0.67
15,Silver Towers,US,NY,New York,Hell's Kitchen Polygon,2026-08-02,4,WEDNESDAY,60,1.0,1,0,0,8.0000000000000000,0.92857142857142857143,1,7.43,0.93,0.93,0.00,0.00
56,The Dime,US,NY,Brooklyn,Williamsburg Polygon,2026-08-02,4,FRIDAY,90,3.0,1,0,1,8.0000000000000000,0.50000000000000000000,1,4.00,1.50,0.50,0.00,0.50
111,Brooklyn Crossing,US,NY,Brooklyn,Boerum Hill Polygon,2026-08-09,1,THURSDAY,100,2.5,1,1,0,8.0000000000000000,0.60000000000000000000,1,4.80,1.50,0.60,0.60,0.00
139,Bay Parc Apartments,US,FL,Miami,Edgewater Polygon,2026-07-26,3,MONDAY,134,1.0,2,0,0,8.0000000000000000,0.46153846153846153846,1,3.69,0.46,0.92,0.00,0.00
91,Alta,US,NY,Queens,Floating NY 1,2026-08-09,1,TUESDAY,36,2.5,0,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,2.50,0.00,0.00,1.00
51,300 Somerset,US,NJ,Harrison,Harrison Polygon,2026-07-26,3,MONDAY,15,3.0,2,1,0,8.0000000000000000,0.62500000000000000000,1,5.00,1.88,1.25,0.63,0.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-07-26,3,THURSDAY,110,3.0,2,1,0,8.0000000000000000,0.20000000000000000000,1,1.60,0.60,0.40,0.20,0.00
95,416 Kent Avenue,US,NY,Brooklyn,Williamsburg Polygon,2026-08-09,1,FRIDAY,90,5.0,0,1,1,8.0000000000000000,1.00000000000000000000,1,8.00,5.00,0.00,1.00,1.00
123,Flamingo South Beach,US,FL,Miami Beach,Miami Beach Polygon,2026-08-09,1,FRIDAY,110,0,0,0,0,8.0000000000000000,0.57142857142857142857,1,4.57,0.00,0.00,0.00,0.00
47,1 Boerum PL,US,NY,Brooklyn,Floating NY 2,2026-08-02,4,WEDNESDAY,39,3.5,1,0,1,8.0000000000000000,1.00000000000000000000,1,8.00,3.50,1.00,0.00,1.00
